Actual,Greedy_Euclidean,A*_Euclidean,Greedy_Manhattan,A*_Manhattan
[70,84,84,84,84]
[0,0.1523385048,0.2327990532,0.1095979214,0.11641645431518555]
[61,98,98,98,98]
[0,0.1505897045,0.1840543747,0.1217308044,0.1251819133758545]
[64,91,91,91,91]
[0,0.139216423,0.1670429707,0.1139140129,0.11724257469177246]
[64,96,96,96,96]
[0,0.1688625813,0.1967871189,0.1238162518,0.12746143341064453]
[63,105,105,105,105]
[0,0.1698095798,0.2065370083,0.134483099,0.13851451873779297]
[63,84,84,84,84]
[0,0.1531116962,0.1989526749,0.1100165844,0.11332273483276367]
[60,88,88,90,88]
[0,0.134493351,0.1617376804,0.1134233475,0.11218976974487305]
[64,73,73,73,73]
[0,0.1005675793,0.1010432243,0.08787488937,0.08846545219421387]
[63,87,87,87,87]
[0,0.1650035381,0.2363219261,0.1136431694,0.1207892894744873]
[70,84,84,84,84]
[0,0.1511731148,0.2330257893,0.1090698242,0.11597490310668945]
[59,77,77,77,77]
[0,0.1206941605,0.1301369667,0.0958096981,0.09691977500915527]
[65,91,91,91,91]
[0,0.1357257366,0.1504228115,0.1115541458,0.11311173439025879]
[63,89,89,89,89]
[0,0.1470651627,0.1985762119,0.1134302616,0.11808443069458008]
[58,94,94,94,94]
[0,0.141500473,0.1703820229,0.1167755127,0.11879420280456543]
[64,92,92,92,92]
